"Nama","Harga","Diskon","Peringkat"
"Lenovo Yoga C640-13IML- 2KID - i5-10510U - 512GB SSD - 8GB - Win 10","Rp 12.399.000","9%Rp 13.699.000",".css-177n1u3{height:12px;width:12px;margin:0.5px;}(6)"
"Lenovo Yoga C340 -7FID i7-10510U NVIDIA GeForce MX230 - 1TB - 16GB","Rp 14.999.000","4%Rp 15.599.000","(8)"
"lenovo ideapad S145-14AST AMD A9-9425 - 4GB - 512GB SSD - AMD Radeon 5","Rp 5.299.000","5%Rp 5.599.000","(2)"
"LENOVO IDEAPAD 330-6PID PLATINUM GREY","Rp 7.990.000","6%Rp 8.499.000","(3)"
"Lenovo Yoga C340-HLID - i5 8265U 8GB 512GB SSD MX230 2GB - Platinum","Rp 10.999.000","8%Rp 11.899.000","(1)"
"Laptop Lenovo Ideapad 130 Amd A4 9125 4GB 500GB Radeon 14 W10","Rp 3.250.000","7%Rp 3.499.000","(262)"
"LAPTOP MURAH ASUS E402YA-GA202T - AMD E2-7015U RAM 4GB 1TB 14"" WIN10","Rp 3.435.000","7%Rp 3.699.000","(77)"
"LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI","Rp 3.799.000","5%Rp 3.999.000","(444)"
"LAPTOP HP 14 AMD A9 RAM 8GB 1TB HDD RADEON R5 WINDOWS 10","Rp 4.990.000","9%Rp 5.499.000","(63)"
"HP 14S DK0126AU DK0127AU - RYZEN 3 3200U 8GB 1TB+256GB SSD 14"" FHD W10","Rp 6.275.000","10%Rp 7.000.000","(79)"
"Dell Inspiron 3180 [A9-9420e-4-500-AMD-W10-GRY] DELL INDONESIA","Rp 3.699.000","10%Rp 4.099.000","(55)"
"LAPTOP HP 14S-DK0073AU AMD A4-9125 4GB 1TB RADEN R3 14'' WINDOWS 10","Rp 3.949.000","1%Rp 3.999.000","(71)"
"LAPTOP HP 14-DK0023AU/DK0024AU - AMD A9-9425 4GB 1TB RADEON R5 14"" W10","Rp 4.225.000","13%Rp 4.850.000","(129)"
"LAPTOP ACER ASPIRE 3 A314-21 - AMD A4-9120 DDR4 4GB 256GB SSD 14"" W10","Rp 3.650.000","4%Rp 3.799.000","(67)"
"LAPTOP ASUS A420UA - INTEL PENTIUM 4417U DDR4 4GB SSD 256GB 14"" W10","Rp 5.099.000","2%Rp 5.199.000","(53)"
"ACER NITRO 5 AN515-R1BL - RYZEN 5-3550H 8GB SSD 512GB RX 560X 4GB W10","Rp 9.599.000","9%Rp 10.600.000","(22)"
"ACER PREDATOR NITRO 5 AN515-43 - RYZEN 5-3550H 8GB 1TB RX 560X 4GB W10","Rp 9.099.000","9%Rp 9.999.000","(45)"
"LAPTOP HP 14S-CF1046TU/CF1047TU-N4205U 4GB 1TB 14"" W10 BACKLIT KYBOARD","Rp 3.899.000","7%Rp 4.199.000","(45)"
"LAPTOP ASUS X441BA - AMD A4 9125 4GB 1TB VGA AMD R3 14"" WIN10 RESMI","Rp 3.699.000","8%Rp 3.999.000","(173)"
"LAPTOP LENOVO IDEAPAD S340-14API AMD RYZEN 5-3500U 8GB 512GB VEGA 8","Rp 8.299.000","2%Rp 8.499.000","(78)"
"ASUS M409DA EK501T |Ryzen 5 3500U 8GB 1TB Vega 8 W10 14FHD","Rp 7.250.000","6%Rp 7.700.000","(12)"
"ACER PREDATOR NITRO 5 - I7-9750H 256GB GTX1650 4GB 15.6"" IPS 144HZ W10","Rp 13.699.000","17%Rp 16.499.000","(32)"
"Dell Inspiron 3180 [A9-9420e-4-500-AMD-W10-WHT] DELL INDONESIA","Rp 3.699.000","10%Rp 4.099.000","(24)"
"PROMO LAPTOP ASUS E402YA - AMD E2-7015 4GB 1TB VGA AMD R2 14"" WIN10","Rp 3.435.000","5%Rp 3.599.000","(98)"
"Laptop HP 14S ( 14"" inch / A4-9125 / 4GB / 1TB / Silver ) dk0073AU","Rp 3.839.000","16%Rp 4.569.000","(40)"
